Product Desc,Qty,Total Cost,Total Cost %,Total Profit,Total Profit %,Branch,Service Type,Category,Section,RevenueFixed,ProfitMargin
REPLACE ALMOND LARGE,48.0,2685.0,40.28,3980.59,59.72,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6665.59,0.5971849453686771
REPLACE ALMOND MEDIUM,361.0,15706.01,36.56,27253.27,63.44,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,42959.28,0.6343977366473554
REPLACE ALMOND SMALL,196.0,6090.97,30.87,13643.08,69.13,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,19734.05,0.6913471892490392
REPLACE COCONUT LARGE,26.0,1501.61,62.47,901.99,37.53,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2403.6,0.375266267265768
REPLACE COCONUT MEDIUM,125.0,5615.01,45.25,6793.64,54.75,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,12408.650000000001,0.5474922735349937
REPLACE COCONUT SMALL,103.0,3304.83,33.21,6645.8,66.79,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,9950.630000000001,0.6678773102808565
REPLACE LACTOSE FREE LARGE,31.0,520.22,0.0,-520.22,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE LACTOSE FREE MEDIUM,710.0,9266.98,0.0,-9266.98,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE LACTOSE FREE SMALL,422.0,3934.27,0.0,-3934.27,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK LARGE,108.0,0.0,0.0,0.0,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK MEDIUM,1053.0,0.0,0.0,0.0,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SKIMMED MILK SMALL,541.0,0.0,0.0,0.0,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
REPLACE SUGAR FREE ALMOND LARGE,2.0,110.98,33.29,222.35,66.71,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,333.33,0.6670566705667057
REPLACE SUGAR FREE ALMOND MEDIUM,30.0,1109.8,27.11,2983.89,72.89,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,4093.6899999999996,0.7288998434175524
REPLACE SUGAR FREE ALMOND SMALL,15.0,462.42,29.45,1107.85,70.55,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1570.27,0.7055156119648213
REPLACE SUGAR FREE OAT LARGE,2.0,100.69,30.21,232.65,69.79,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,333.34000000000003,0.6979360412791744
REPLACE SUGAR FREE OAT MEDIUM,29.0,973.31,25.17,2893.35,74.83,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3866.66,0.7482814625542458
REPLACE SUGAR FREE OAT SMALL,26.0,727.19,27.97,1872.81,72.03,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2600.0,0.7203115384615384
SALTED CARAMEL CREAM FRAPPE LARGE,1.0,89.99,27.0,243.34,73.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,333.33,0.7300273002730028
SALTED CARAMEL CREAM FRAPPE MEDIUM,7.0,549.57,26.59,1517.09,73.41,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2066.66,0.734078174445724
SALTED CARAMEL CREAM FRAPPE SMALL,11.0,688.87,23.86,2197.79,76.14,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2886.66,0.7613608807410641
SALTED CARAMEL FRAPPE MEDIUM,34.0,3271.87,32.61,6761.47,67.39,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,10033.34,0.6739002166775969
SALTED CARAMEL FRAPPE SMALL,12.0,857.82,27.09,2308.84,72.91,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3166.6600000000003,0.729108903387165
STRAWBERRY CREAM FRAPP LARGE,31.0,2285.45,24.3,7119.95,75.7,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,9405.4,0.7570066132221915
STRAWBERRY CREAM FRAPP MEDIUM,222.0,15856.0,25.5,46327.78,74.5,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,62183.78,0.7450138926903447
STRAWBERRY CREAM FRAPP SMALL,152.0,8139.58,22.32,28325.28,77.68,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,36464.86,0.7767829082574291
STRAWBERRY DRIZZLE TOPPING,70.0,527.58,22.39,1829.18,77.61,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2356.76,0.7761418218231809
TOFFEENUT CREAM  FRAP LARGE,4.0,298.96,22.42,1034.37,77.58,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1333.33,0.7757794394485986
TOFFEENUT CREAM  FRAP MEDIUM,3.0,202.35,22.99,677.65,77.01,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,880.0,0.7700568181818181
TOFFEENUT CREAM  FRAP SMALL,3.0,150.73,19.16,635.94,80.84,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,786.6700000000001,0.8083948796827132
TOFFEENUT FRAP MEDIUM,6.0,449.53,25.54,1310.47,74.46,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1760.0,0.7445852272727272
TOFFEENUT FRAP SMALL,3.0,178.72,22.91,601.28,77.09,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,780.0,0.7708717948717948
VANILLA CREAM FRAPP LARGE,15.0,912.17,17.42,4325.67,82.58,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,5237.84,0.8258499686893834
VANILLA CREAM FRAPP MEDIUM,91.0,5324.47,19.73,21659.32,80.27,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,26983.79,0.8026789416905482
VANILLA CREAM FRAPP SMALL,70.0,3057.96,16.55,15419.51,83.45,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,18477.47,0.8345033167419565
VANILLA FRAP SMALL,20.0,1060.34,22.72,3606.33,77.28,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,4666.67,0.7727844480111086
VANILLA FRAPP LARGE,7.0,477.97,21.67,1727.43,78.33,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2205.4,0.7832728756688129
VANILLA FRAPP MEDIUM,29.0,1913.45,24.45,5913.58,75.55,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,7827.03,0.7555330693762513
WHITE MOCHA CREAM FRAPP LARGE,8.0,475.54,18.98,2029.87,81.02,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2505.41,0.8101947385857006
WHITE MOCHA CREAM FRAPP MEDIUM,25.0,1428.53,20.56,5519.22,79.44,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6947.75,0.7943895505739268
WHITE MOCHA CREAM FRAPP SMALL,14.0,598.81,17.82,2762.45,82.18,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3361.2599999999998,0.8218495445160445
WHITE MOCHA FRAPP LARGE,18.0,1204.42,22.3,4195.58,77.7,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,5400.0,0.7769592592592592
WHITE MOCHA FRAPP MEDIUM,95.0,6138.08,24.23,19195.25,75.77,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,25333.33,0.757707336540439
WHITE MOCHA FRAPP SMALL,53.0,2761.52,24.15,8671.82,75.85,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,11433.34,0.758467779319079
Total By Division:,28037.0,817969.41,20.48,3176059.06,79.52,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3994028.47,0.7952019080124384
APPLE JUICE,54.0,3535.13,39.28,5464.87,60.72,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,9000.0,0.6072077777777778
LEMON JUICE,111.0,8232.39,40.73,11979.32,59.27,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,20211.71,0.5926920582177362
MAWARDI JUICE,1.0,65.47,25.95,186.79,74.05,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,252.26,0.7404661856814397
ORANGE JUICE,214.0,14009.58,38.81,22085.01,61.19,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,36094.59,0.6118648251718609
POMEGRANATE JUICE,0.0,0.0,0.0,0.0,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,0.0,
RIM SPARKLING WATER-250 ML,368.0,7747.92,35.71,13950.1,64.29,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,21698.02,0.6429204139363869
SAN BENEDETTO CLEMENTINE 330ML/24,142.0,6110.83,24.16,19181.97,75.84,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,25292.800000000003,0.758396460652834
SAN BENEDETTO GLASS 250ML/24,61.0,2487.07,26.08,7049.87,73.92,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,9536.94,0.739217191258412
SAN BENEDETTO LEMON 330ML/24,111.0,4776.77,23.34,15691.7,76.66,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,20468.47,0.7666278915815398
WATER,9817.0,44995.4,12.33,319786.57,87.67,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,364781.97000000003,0.8766512500604128
Total By Division:,10879.0,91960.55,18.13,415376.2,81.87,Stories Faqra,TAKE AWAY,BEVERAGES,GRAB&GO BEVERAGES,507336.75,0.8187386385866982
ADD ENGLISH BREAKFAST TEA BAG,1.0,17.63,27.95,45.43,72.05,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,63.06,0.7204249920710434
ADD GREEN TEA BAG,1.0,17.63,21.74,63.45,78.26,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,81.08,0.7825604341391219
AMERICAN COFFEE BEANS 250G,2.0,477.33,44.75,589.33,55.25,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,1066.66,0.5525003281270507
AMERICANO LARGE,101.0,5674.25,22.37,19692.78,77.63,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,25367.03,0.7763139792084449
AMERICANO MEDIUM,378.0,17384.57,20.73,66472.19,79.27,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,83856.76000000001,0.792687315846689
AMERICANO SMALL,571.0,19920.97,17.95,91053.81,82.05,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,110974.78,0.8204910160668938
BLACK COFFEE LARGE,21.0,1637.29,32.69,3371.72,67.31,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,5009.01,0.6731310179057338
BLACK COFFEE MEDIUM,94.0,6072.74,31.97,12921.85,68.03,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,18994.59,0.6802910723527068
BLACK COFFEE SMALL,154.0,7972.08,32.22,16771.16,67.78,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,24743.239999999998,0.6778077567852877
BOMBAY CHAI BLACK TEA MEDIUM,26.0,1068.77,24.66,3264.57,75.34,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,4333.34,0.7533611486751559
CAPPUCCINO LARGE,36.0,2400.93,25.01,7199.07,74.99,Stories Faqra,TAKE AWAY,BEVERAGES,HOT BAR SECTION,9600.0,0.749903125
CAPPUCCINO MEDIUM,275.0,12194.94,19.38,50730.82,80.62,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,62925.76,0.8062011487823111
CAPPUCCINO SMALL,392.0,12341.81,16.01,64741.61,83.99,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,77083.42,0.8398902124477612
CARAMEL MACCHIATO LARGE,23.0,1873.55,27.15,5026.45,72.85,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6900.0,0.7284710144927536
CARAMEL MACHIATO MEDIUM,250.0,15722.21,24.71,47900.85,75.29,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,63623.06,0.7528850388522652
CARAMEL MACHIATO SMALL,270.0,11808.82,19.84,47706.94,80.16,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,59515.76,0.8015849919416302
CLASSIC HOT CHOC MEDIUM,18.0,1167.28,23.96,3705.51,76.04,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,4872.79,0.7604493524243812
CLASSIC HOT CHOC SMALL,31.0,1548.19,21.98,5494.15,78.02,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,7042.34,0.7801597196386427
DOUBLE ESPRESSO,613.0,12864.94,11.47,99272.36,88.53,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,112137.3,0.8852751047153802
DOUBLE ESPRESSO MAC,12.0,332.39,13.98,2044.54,86.02,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2376.93,0.8601599542266706
DOUBLE LONGO,4.0,112.97,13.61,717.3,86.39,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,830.27,0.8639358281041106
EARL GREY LAVENDER TEA MEDIUM,173.0,6407.61,40.67,9349.15,59.33,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,15756.759999999998,0.5933421591748558
ENGLISH BREAKFAST TEA MEDIUM,75.0,2777.87,24.67,8483.4,75.33,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,11261.27,0.7533253354195396
ESPRESSO,376.0,4435.17,7.13,57794.47,92.87,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,62229.64,0.9287289786667575
FLAT WHITE,522.0,19307.98,33.07,39073.29,66.93,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,58381.270000000004,0.6692778351687108
GOLDEN CHAMOMILE HERBAL TEA MEDIUM,80.0,2963.06,23.06,9888.29,76.94,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,12851.35,0.7694358958397367
HOT DOUBLE SHOT LARGE,10.0,941.6,28.25,2391.73,71.75,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3333.33,0.7175197175197175
HOT DOUBLE SHOT MEDIUM,18.0,1338.24,27.88,3461.76,72.12,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,4800.0,0.7212000000000001
HOT DOUBLE SHOT SMALL,31.0,1672.91,29.96,3911.77,70.04,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,5584.68,0.7004465788550105
HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,277.82,30.87,622.18,69.13,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,900.0,0.6913111111111111
HOT DOUBLE SHOT TOFFEE NUT SMALL,2.0,120.05,22.51,413.28,77.49,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,533.3299999999999,0.7749048431552698
HOUSE BLEND BEANS 250G,2.0,492.25,39.25,761.8,60.75,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1254.05,0.6074717913958774
LATTE LARGE,111.0,7402.86,25.01,22197.14,74.99,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,29600.0,0.7499033783783784
LATTE MEDIUM,860.0,43909.66,22.44,151743.22,77.56,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,195652.88,0.775573658818618
LATTE SMALL,1193.0,41564.67,17.96,189912.81,82.04,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,231477.47999999998,0.8204375216111737
MATCHA LATTE LARGE,19.0,1814.72,35.82,3251.95,64.18,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,5066.67,0.6418318145843325
MATCHA LATTE MEDIUM,169.0,13423.54,34.86,25084.84,65.14,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,38508.380000000005,0.6514124977472435
MATCHA LATTE SMALL,90.0,5648.8,34.28,10831.2,65.72,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,16480.0,0.6572330097087379
MEDITERRANEAN CARAMEL TEA MEDIUM,1.0,37.04,22.22,129.63,77.78,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,166.67,0.7777644447111058
MOCHA  LARGE,12.0,1144.05,29.46,2738.84,70.54,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3882.8900000000003,0.7053612129110018
MOCHA MEDIUM,89.0,6653.32,29.25,16089.74,70.75,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,22743.059999999998,0.707457131977843
MOCHA SMALL,114.0,6109.61,24.69,18634.81,75.31,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,24744.420000000002,0.7530914040418001
ORGANIC GREEN TEA MEDIUM,111.0,4111.24,27.38,10902.27,72.62,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,15013.51,0.7261639683192005
SALTED CARAMEL LATTE LARGE,3.0,292.12,29.21,707.88,70.79,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1000.0,0.70788
SALTED CARAMEL LATTE MEDIUM,11.0,823.99,28.09,2109.34,71.91,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2933.33,0.7190939989704535
SALTED CARAMEL LATTE SMALL,7.0,363.02,22.23,1270.31,77.77,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1633.33,0.7777424035559256
SIGNATURE HOT CHOCOLATE LARGE,21.0,2131.37,33.83,4168.63,66.17,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6300.0,0.6616873015873016
SIGNATURE HOT CHOCOLATE MEDIUM,187.0,15871.55,31.5,34514.03,68.5,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,50385.58,0.6849981681266742
SIGNATURE HOT CHOCOLATE SMALL,277.0,18745.37,29.37,45080.75,70.63,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,63826.119999999995,0.706305662948022
SINGLE ESPRESSO MACC,14.0,259.11,9.69,2414.13,90.31,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2673.2400000000002,0.9030726758540198
SINGLE LONGO,14.0,262.09,8.81,2712.33,91.19,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2974.42,0.9118853423524585
SOUTHERN MINT HERBAL TEA MEDIUM,40.0,1496.64,22.45,5170.03,77.55,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6666.67,0.7755041122479438
SPANISH LATTE MEDIUM,430.0,30775.63,24.21,96353.02,75.79,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,127128.65000000001,0.7579174324591663
SPANISH LATTE SMALL,442.0,22365.84,19.98,89599.74,80.02,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,111965.58,0.8002436105810375
STEAMED MILK MEDIUM,6.0,220.16,20.28,865.43,79.72,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,1085.59,0.7971978371208284
STEAMED MILK SMALL,7.0,205.35,22.0,727.98,78.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,933.33,0.7799813570762753
SWEET GINGER PEACH BLACK TEA MEDIUM,37.0,1370.41,22.84,4629.59,77.16,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6000.0,0.7715983333333334
TOFFEE NUT LATTE LARGE,12.0,1227.4,30.69,2772.6,69.31,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,4000.0,0.6931499999999999
TOFFEE NUT LATTE MEDIUM,74.0,6042.9,30.42,13820.17,69.58,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,19863.07,0.6957721037080371
TOFFEE NUT LATTE SMALL,53.0,3204.13,25.91,9162.53,74.09,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,12366.66,0.7409057902457091
TRIPLE ESPRESSO,31.0,1150.19,0.0,-1150.19,100.0,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,0.0,
WHITE MOCHA LARGE,345.0,29030.0,27.97,74752.89,72.03,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,103782.89,0.7202814452363006
WHITE MOCHA MEDIUM,523.0,34707.45,26.05,98502.28,73.95,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,133209.72999999998,0.7394525910382073
WHITE MOCHA SMALL,816.0,39165.52,34.42,74616.82,65.58,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,113782.34,0.6557855990657251
YIRGACHEFFE BEANS 250G,5.0,1491.67,44.75,1841.67,55.25,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,3333.34,0.55249989500021
Total By Division:,10689.0,516367.29,23.29,1701095.42,76.71,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,2217462.71,0.7671359758739753
Total By Category:,49605.0,1426297.24,21.23,5292530.68,78.77,Stories Faqra,TAKE AWAY,BEVERAGES,22-Jan-26,6718827.92,0.787716361100077
CHOCOLATE ROLL LARGE,42.0,2464.9,17.38,11715.28,82.62,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,14180.18,0.8261728694558179
CLASSIC CINNAMON ROLL LARGE,1129.0,56763.83,20.47,220533.47,79.53,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,277297.3,0.7952961316247941
EXTRA CREAM CHEESE FROSTING MIX,5.0,49.34,29.6,117.33,70.4,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,166.67000000000002,0.7039659206815863
LOTUS ROLL,1.0,61.05,16.65,305.62,83.35,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,366.67,0.8335015136226034
RED CINNAMON ROLL,4.0,221.4,16.6,1111.93,83.4,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,1333.3300000000002,0.8339495848739621
Total By Division:,1181.0,59560.51,20.3,233783.63,79.7,Stories Faqra,TAKE AWAY,FOOD,CINNAMON ROLLS,293344.14,0.7969602869857908
BLUEBERRY CHEESE CAKE,9.0,2217.81,59.04,1538.95,40.96,Stories Faqra,TAKE AWAY,FOOD,COFFEE PASTRY,3756.76,0.40964820749795033
BLUEBERRY MUFFIN,69.0,3049.08,22.09,10750.92,77.91,Stories Faqra,TAKE AWAY,FOOD,COFFEE PASTRY,13800.0,0.7790521739130435
BROWNIES CAKE,143.0,9385.57,39.38,14447.77,60.62,Stories Faqra,TAKE AWAY,FOOD,COFFEE PASTRY,23833.34,0.6061999702937146
CARROT CAKE,5.0,495.23,24.43,1531.79,75.57,Stories Faqra,TAKE AWAY,FOOD,COFFEE PASTRY,2027.02,0.7556856863770461
CHOCOLATE SABLE,2.0,238.67,51.14,228.0,48.86,Stories Faqra,TAKE AWAY,FOOD,COFFEE PASTRY,466.66999999999996,0.4885679388004372
DOUBLE CHOCOLATE MUFFIN,138.0,6480.35,23.48,21119.65,76.52,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,27600.0,0.7652047101449276
FRAMBOISE CHEESE CAKE,70.0,16978.15,66.97,8373.2,33.03,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,25351.350000000002,0.3302861583308187
LAZY CAKE,151.0,22524.17,49.72,22775.83,50.28,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,45300.0,0.5027777041942605
LOTUS CHEESE CAKE,92.0,22183.43,63.92,12519.28,36.08,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,34702.71,0.3607579926755
ORANGE CAKE,2.0,121.87,20.31,478.13,79.69,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,600.0,0.7968833333333333
RED VELVET CAKE,64.0,9546.67,46.11,11157.84,53.89,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,20704.510000000002,0.5389086725549167
RED VELVET MUFFIN_,11.0,430.0,19.55,1770.0,80.45,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,2200.0,0.8045454545454546
VANILLA MUFFIN,1.0,26.36,13.18,173.64,86.82,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,200.0,0.8682
Total By Division:,757.0,93677.34,46.71,106865.0,53.29,Stories Faqra,TAKE AWAY,FOOD,22-Jan-26,200542.34,0.5328799893329259
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,138.0,12351.0,26.85,33649.0,73.15,Stories Faqra,TAKE AWAY,FOOD,COOKIES,46000.0,0.7315
NY STYLE COOKIE - DOUBLE CHOCOLATE,9.0,805.5,26.85,2194.5,73.15,Stories Faqra,TAKE AWAY,FOOD,COOKIES,3000.0,0.7315
Total By Division:,147.0,13156.5,26.85,35843.5,73.15,Stories Faqra,TAKE AWAY,FOOD,COOKIES,49000.0,0.7315
CHEESE CROISSANT,229.0,19129.13,41.77,26670.87,58.23,Stories Faqra,TAKE AWAY,FOOD,CROISSANT,45800.0,0.5823334061135371
CHOCOLATE CROISSANT,145.0,12112.33,41.77,16887.67,58.23,Stories Faqra,TAKE AWAY,FOOD,CROISSANT,29000.0,0.582333448275862
PLAIN CROISSANT,2.0,145.71,36.43,254.29,63.57,Stories Faqra,TAKE AWAY,FOOD,CROISSANT,400.0,0.635725
THYME CROISSANT,94.0,7291.27,38.64,11579.0,61.36,Stories Faqra,TAKE AWAY,FOOD,CROISSANT,18870.27,0.6136107220511418
Total By Division:,470.0,38678.44,41.12,55391.83,58.88,Stories Faqra,TAKE AWAY,FOOD,CROISSANT,94070.27,0.5888346020480222
CHOCOLATE SALTED CAKE,59.0,8448.8,40.19,12574.62,59.81,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,21023.42,0.5981243774799724
ECLAIR CARAMEL,1.0,131.27,56.26,102.07,43.74,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,233.34,0.4374303591325962
ECLAIR ORIGINAL,45.0,5907.0,56.26,4593.0,43.74,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,10500.0,0.43742857142857144
FONDANT AU CHOCOLAT,109.0,22762.83,57.11,17093.02,42.89,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,39855.850000000006,0.4288710440249047
MACARONS,100.0,14663.08,54.99,12003.58,45.01,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,26666.66,0.4501343625335906
Total By Division:,314.0,51912.98,52.82,46366.3,47.18,Stories Faqra,TAKE AWAY,FOOD,FRENCH PASTRY,98279.28,0.4717810305488604
BLUEBERRIES,127.0,3788.83,43.89,4843.6,56.11,Stories Faqra,TAKE AWAY,FOOD,FROZEN YOGHURT,8632.43,0.5610934580413627
BLUEBERRIES COMBO,4261.0,127119.83,0.0,-127119.83,100.0,Stories Faqra,TAKE AWAY,FOOD,FROZEN YOGHURT,0.0,
BLUEBERRY YOGHURT COMBO MEDIUM,278.5,23636.4,18.56,103690.63,81.44,Stories Faqra,TAKE AWAY,FOOD,FROZEN YOGHURT,127327.03,0.8143646325528837
BLUEBERRY YOGHURT COMBO SMALL,864.5,55840.25,17.11,270590.38,82.89,Stories Faqra,TAKE AWAY,FOOD,FROZEN YOGHURT,326430.63,0.8289368555885824
BLUEBERRY YOGHURT COMBO X-LARGE,21.5,2955.39,22.77,10022.09,77.23,Stories Faqra,TAKE AWAY,FOOD,FROZEN YOGHURT,12977.48,0.7722678054599198
