Description,Qty,Total Amount,Group,Division,Branch
WHITE MOCHA FRAPP SMALL,69.0,15939.19,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
WHITE MOCHA FRAPP MEDIUM,85.0,23154.11,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
WHITE MOCHA FRAPP LARGE,52.0,16950.0,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
WHITE MOCHA CREAM FRAPP SMALL,24.0,4948.98,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
WHITE MOCHA CREAM FRAPP MEDIUM,29.0,7867.63,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CHOCOLATE CREAM FRAPP MEDIUM,272.0,72925.65,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CHOCOLATE CREAM FRAPP LARGE,27.0,7654.92,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
WHITE MOCHA CREAM FRAPP LARGE,12.0,3780.54,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CHOCOLATE CREAM FRAP SMALL,246.0,57205.86,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CARAMEL CREAM  FRAPP MEDIUM,286.0,76466.31,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CARAMEL CREAM  FRAPP LARGE,59.0,18693.74,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
CARAMEL CREAM FRAPP SMALL,347.0,77640.72,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
MATCHA CREAM  FRAPP SMALL,100.0,22482.19,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
MATCHA CREAM FRAPP MEDIUM,157.0,40737.06,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
MATCHA CREAM FRAPP LARGE,45.0,13534.05,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
STRAWBERRY CREAM FRAPP SMALL,318.0,65293.0,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
STRAWBERRY CREAM FRAPP MEDIUM,256.0,69051.77,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
STRAWBERRY CREAM FRAPP LARGE,41.0,12065.8,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
VANILLA FRAP SMALL,45.0,10410.45,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
VANILLA FRAPP MEDIUM,53.0,13962.76,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
VANILLA FRAPP LARGE,5.0,1440.81,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
HAZELNUT FRAPP SMALL,8.0,1820.63,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
HAZELNUT FRAPP MEDIUM,13.0,3547.87,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
HAZELNUT FRAPP LARGE,1.0,300.0,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
TOFFEENUT FRAP SMALL,5.0,1378.0,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
TOFFEENUT FRAP MEDIUM,2.0,586.67,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
TOFFEENUT CREAM  FRAP MEDIUM,3.0,938.67,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
TOFFEENUT CREAM  FRAP LARGE,2.0,700.0,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
TOFFEENUT FRAP LARGE,4.0,1433.33,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL FRAPPE SMALL,23.0,5645.55,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL CREAM FRAPPE SMALL,13.0,3159.63,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL CREAM FRAPPE MEDIUM,11.0,3328.27,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL CREAM FRAPPE LARGE,3.0,1033.63,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL FRAPPE MEDIUM,42.0,12381.53,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
SALTED CARAMEL FRAPPE LARGE,4.0,1333.93,BLENDED BRINKS,HOT BAR SECTION,Stories Centro Mall
ICED PEACH TEA  SMALL,274.0,24920.42,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ICED PEACH TEA  MEDIUM,114.0,27599.04,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ICED RASPBERRY TEA  SMALL,10.0,1913.33,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ICED RASPBERRY TEA  MEDIUM,3.0,853.33,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ICED LEMON TEA LARGE,1.0,300.0,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ICED PEACH TEA LARGE,21.0,5795.14,ICE TEA,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL SMALL,355.0,10957.42,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA SMALL,404.0,11374.44,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD HAZELNUT SMALL,67.0,2000.48,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL MEDIUM,569.0,19050.87,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA MEDIUM,666.0,21893.15,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD HAZELNUT MEDIUM,102.0,3423.96,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD SHOT,2526.0,75821.2,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD WHIPPED CREAM,388.0,13987.09,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD MOCHA SMALL,8.0,233.33,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD WHITE MOCHA SMALL,602.0,10327.99,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL DRIZZLE,338.0,10484.14,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CHOCOLATE DRIZZLE,67.0,2350.12,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL LARGE,128.0,4410.84,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA LARGE,193.0,6308.89,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD HAZELNUT LARGE,20.0,716.7,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL SF MEDIUM,504.0,17539.34,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL SF LARGE,239.0,8623.57,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA SF SMALL,543.0,18334.38,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA SF MEDIUM,863.0,28961.26,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD VANILLA SF LARGE,254.0,8964.17,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD CARAMEL SF SMALL,352.0,12344.8,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD YIRGACHEFFE SHOT,9.0,306.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
REPLACE 1 SHOT YIRGACHEFFE,42.0,2806.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
REPLACE 2 SHOT YIRGACHEFFE,43.0,2866.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
REPLACE 3 SHOT YIRGACHEFFE,5.0,333.33,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
NO WHIPPED CREAM,178.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD WHITE MOCHA MEDIUM,466.0,15735.53,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD WHITE MOCHA LARGE,69.0,2450.18,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
1 SHOT DECAFE,201.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
2 SHOT DECAFE,292.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
3 SHOT DECAFE,132.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD MOCHA LARGE,18.0,653.36,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD MOCHA MEDIUM,19.0,676.73,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
STRAWBERRY DRIZZLE TOPPING,46.0,1513.81,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD TOFFEE NUT SMALL,1.0,33.33,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD BANANA SAUCE SMALL,12.0,400.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD BANANA SAUCE MEDIUM,10.0,336.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD BANANA SAUCE LARGE,1.0,73.33,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD RASPBERRY SAUCE SMALL,11.0,366.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD RASPBERRY SAUCE MEDIUM,9.0,300.0,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD RASPBERRY SAUCE LARGE,1.0,66.67,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
ADD MATCHA MEDIUM,3.0,162.16,ADD SYRUP,HOT BAR SECTION,Stories Centro Mall
REPLACE ALMOND SMALL,235.0,22658.23,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE ALMOND MEDIUM,410.0,49566.8,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE COCONUT SMALL,158.0,14586.65,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE COCONUT MEDIUM,217.0,20429.24,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SKIMMED MILK SMALL,1042.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SKIMMED MILK MEDIUM,1262.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE LACTOSE FREE SMALL,753.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE LACTOSE FREE MEDIUM,1079.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE OAT MEDIUM,158.0,22202.52,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE OAT SMALL,74.0,7451.53,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE SOYA SMALL,22.0,2160.81,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE SOYA MEDIUM,32.0,4228.47,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE ALMOND SMALL,49.0,5030.72,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE ALMOND MEDIUM,55.0,7428.47,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE ALMOND LARGE,82.0,11947.35,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE COCONUT LARGE,95.0,9524.49,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE LACTOSE FREE LARGE,217.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SKIMMED MILK LARGE,396.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE ALMOND LARGE,13.0,2150.6,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE OAT LARGE,13.0,2233.78,REPLACE,HOT BAR SECTION,Stories Centro Mall
REPLACE SUGAR FREE SOYA LARGE,11.0,1983.48,REPLACE,HOT BAR SECTION,Stories Centro Mall
ADD SKIMMED MILK,3.0,0.0,REPLACE,HOT BAR SECTION,Stories Centro Mall
WATER,9977.0,374717.8,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
ORANGE JUICE,393.0,65948.95,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
LEMON JUICE,130.0,21740.24,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
MAWARDI JUICE,115.0,19258.56,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
APPLE JUICE,57.0,9528.53,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
POMEGRANATE JUICE,96.0,16105.41,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
SAN BENEDETTO CLEMENTINE 330ML/24,151.0,25264.26,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
SAN BENEDETTO GLASS 250ML/24,130.0,17846.13,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
SAN BENEDETTO LEMON 330ML/24,140.0,23449.1,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
RIM SPARKLING WATER-250 ML,257.0,16038.74,SOFT DRINKS,COLD BAR SECTION,Stories Centro Mall
DOUBLE CHOCOLATE MUFFIN,173.0,35280.72,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
ORANGE CAKE,62.0,18782.43,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
RED VELVET CAKE,94.0,28227.63,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
BROWNIES CAKE,321.0,53182.43,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
LAZY CAKE,204.0,64464.78,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
BLUEBERRY CHEESE CAKE,113.0,40768.17,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
FRAMBOISE CHEESE CAKE,24.0,9369.37,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
LOTUS CHEESE CAKE,65.0,25318.32,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
CHOCOLATE MUFFIN,4.0,800.0,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
CARROT CAKE,10.0,2732.43,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
BLUEBERRY MUFFIN,112.0,22965.95,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
CHOCOLATE SABLE,6.0,1430.24,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
RED VELVET MUFFIN_,10.0,1990.99,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Centro Mall
CHEESE CROISSANT,459.0,95460.78,CROISSANT,COFFEE PASTRY,Stories Centro Mall
THYME CROISSANT,191.0,37493.51,CROISSANT,COFFEE PASTRY,Stories Centro Mall
PLAIN CROISSANT,39.0,7504.5,CROISSANT,COFFEE PASTRY,Stories Centro Mall
CHOCOLATE CROISSANT,376.0,78696.7,CROISSANT,COFFEE PASTRY,Stories Centro Mall
ALMOND CROISSANT,13.0,2888.89,CROISSANT,COFFEE PASTRY,Stories Centro Mall
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,258.0,84752.85,COOKIES,CROISSANT,Stories Centro Mall
NY STYLE COOKIE - DOUBLE CHOCOLATE,50.0,16238.44,COOKIES,CROISSANT,Stories Centro Mall
FONDANT AU CHOCOLAT,202.0,71114.41,FRENCH PASTRY,COOKIES,Stories Centro Mall
ECLAIR ORIGINAL,6.0,1423.33,FRENCH PASTRY,COOKIES,Stories Centro Mall
ECLAIR CHOCOLAT,6.0,1446.67,FRENCH PASTRY,COOKIES,Stories Centro Mall
MACARONS,82.0,21906.31,FRENCH PASTRY,COOKIES,Stories Centro Mall
CHOCOLATE SALTED CAKE,82.0,26389.49,FRENCH PASTRY,COOKIES,Stories Centro Mall
GUMMY BEARS COMBO,2171.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
GRANOLLA COMBO,2146.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
WAFER ROLL COMBO,1854.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MARSHMALLOW COMBO,2782.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
BROWNIES COMBO,2332.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
LOTUS BISCUIT COMBO,2480.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE CHIPS COMBO,2856.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
OREO COMBO,2814.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
SPRINKLES COMBO,1272.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MIXED NUTS COMBO,933.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
OATS COMBO,43.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
STRAWBERRY COMBO,8604.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
PINEAPPLE COMBO,3642.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MANGO COMBO,5810.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
HONEY COMBO,88.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
BLUEBERRIES COMBO,5305.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Centro Mall
GRANOLLA,67.0,4840.12,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
WAFER ROLL,89.0,6433.51,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MARSHMALLOW,132.0,9294.35,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
BROWNIES,45.0,3233.33,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
LOTUS BISCUITS,92.0,6467.15,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
OREO,180.0,12017.42,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
SPRINKLES,80.0,5726.79,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
OATS,1.0,60.06,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE CHIPS,115.0,8208.11,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MIXED NUTS,26.0,1800.48,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
GUMMY BEARS,105.0,7493.81,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
STRAWBERRY,278.0,19727.39,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
PINEAPPLE,130.0,8831.11,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
MANGO,176.0,12527.57,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
HONEY,105.0,7305.23,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
BLUEBERRIES,246.0,17190.09,TOPPINGS,FRENCH PASTRY,Stories Centro Mall
PISTACHIO CRUNCH,853.0,88941.29,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE QUELLA CRUNCH,12.0,1218.41,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE CRUNCH,1140.0,117590.36,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
VARIEGATO WAFER,93.0,9580.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE QUELLA,369.0,37594.11,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
QUELLA PISTACCIO,22.0,2242.1,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CRUMBOLE RED BERRIES,39.0,3900.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
CRUMBOLE PISTACHIO,21.0,2100.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
ARABESCHI COCCO SNAK,1.0,100.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT SMALL,283.5,89261.62,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT MEDIUM,82.5,28917.81,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT X-LARGE,4.0,1833.33,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT COMBO SMALL,3859.0,1301829.56,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT COMBO MEDIUM,1338.4,543922.87,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
ORIGINAL YOGHURT COMBO X-LARGE,221.0,124352.51,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT SMALL,66.5,20021.2,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT MEDIUM,18.5,6484.32,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT X-LARGE,8.5,3966.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT COMBO SMALL,1462.0,459348.14,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT COMBO MEDIUM,525.5,214642.75,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
CHOCOLATE YOGHURT COMBO X-LARGE,93.5,52288.96,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT SMALL,122.0,37665.87,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT COMBO SMALL,2856.5,921717.97,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT MEDIUM,39.5,13831.32,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT COMBO MEDIUM,1066.0,437045.14,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT X-LARGE,4.5,2100.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
MANGO YOGHURT COMBO X-LARGE,215.5,121538.95,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT SMALL,2.0,880.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT COMBO SMALL,41.0,11331.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT MEDIUM,3.0,1386.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT COMBO MEDIUM,14.5,7550.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT X-LARGE,1.0,566.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
PISTACHIO YOGHURT COMBO X-LARGE,1.5,1013.33,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS YOGHURT SMALL,6.75,2027.03,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS YOGHURT MEDIUM,4.0,1321.32,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS YOGHURT COMBO SMALL,434.5,141918.92,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS YOGHURT COMBO MEDIUM,148.0,57777.78,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS YOGHURT COMBO X-LARGE,10.5,5360.36,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP MANGO,120.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP CHOCOLATE,130.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP SPECULOSE LOTUS,8.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP ORIGINAL YOUGHURT,140.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
BLUEBERRY YOGHURT SMALL,2.0,600.6,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
BLUEBERRY YOGHURT COMBO SMALL,557.0,190111.11,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
BLUEBERRY YOGHURT MEDIUM,0.5,165.17,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
BLUEBERRY YOGHURT COMBO MEDIUM,146.5,57192.19,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
BLUEBERRY YOGHURT COMBO X-LARGE,7.0,3573.57,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP BLUEBERRY,41.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP PISTACHIO,5.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS SPREAD YOGHURT COMBO MEDIUM,0.5,195.2,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS SPREAD YOGHURT COMBO SMALL,0.5,177.18,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS SPREAD YOGHURT MEDIUM,0.5,165.17,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
LOTUS SPREAD YOGHURT SMALL,1.0,300.3,FROZEN YOGHURT,FRENCH PASTRY,Stories Centro Mall
RICOTTA YOGHURT SMALL,1.5,450.0,SPECIALTY YOGHURT,FRENCH PASTRY,Stories Centro Mall
RICOTTA YOGHURT MEDIUM,0.5,166.67,SPECIALTY YOGHURT,FRENCH PASTRY,Stories Centro Mall
RICOTTA YOGHURT COMBO SMALL,10.0,3333.33,SPECIALTY YOGHURT,FRENCH PASTRY,Stories Centro Mall
RICOTTA YOGHURT COMBO MEDIUM,0.5,200.0,SPECIALTY YOGHURT,FRENCH PASTRY,Stories Centro Mall
TASTING CUP RICOTTA,15.0,0.0,SPECIALTY YOGHURT,FRENCH PASTRY,Stories Centro Mall
KIBBEB B LABAN,1.0,630.63,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
FREEKEH WITH CHICKEN,3.0,1891.89,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
LASAGNA,3.0,1891.89,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
ORIENTAL RICE,2.0,1261.26,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
SHAKRIYEH,1.0,630.63,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
SHISH BARAK,6.0,3783.78,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
CHICKEN ALFREDO PASTA,1.0,630.63,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
CHICKEN STROGANOFF,1.0,630.63,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
VEGETARIAN GRAPE LEAVES,4.0,2522.52,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
ROASTED CHICKEN,5.0,3153.15,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
NOUILLE,4.0,2522.52,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
BUTTER CHICKEN,2.0,1261.26,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
POTATO SOUFFLE,1.0,630.63,PLAT DU JOUR,FROZEN YOGHURT,Stories Centro Mall
TUNA SUB,284.0,102737.03,SUB SANDWICHES,PLAT DE JOUR,Stories Centro Mall
VEGGIE SUB,925.0,6806.61,SUB SANDWICHES,PLAT DE JOUR,Stories Centro Mall
TURKEY & CHEESE SUB,695.0,254502.55,SUB SANDWICHES,PLAT DE JOUR,Stories Centro Mall
